name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tokyo,2025-02-12,54.5,34.8,44.7,54.5,30.7,43.4,28.5,53.4,0,0,0,,0,0,46.1,26.6,227.9,1016.9,29.1,10.3,138.7,12,6,10,2025-02-12T06:31:08,2025-02-12T17:19:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47687099999,47671099999,47670099999,47686099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Tokyo,2025-02-13,54.7,39.4,46.9,54.7,29.7,43,26.1,46.9,0,0,0,,0,0,53,30.1,330.6,1004,28.6,8,185.2,16,7,10,2025-02-13T06:30:06,2025-02-13T17:20:25,0.52,Partially cloudy,Partly cloudy throughout the day.,wind,"47662099999,47687099999,47671099999,47642043313,47680099999,RJTY,RJTT"
Tokyo,2025-02-14,54.4,37.8,46.2,54.4,29.9,42.4,21.9,38.3,0,0,0,,0,0,19.9,20.4,311.1,1014.2,44.9,9.2,165.8,14.2,7,10,2025-02-14T06:29:02,2025-02-14T17:21:25,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47687099999,47671099999,47727099999,47643099999,47642043313,47680099999,RJTY,RJTT"
Tokyo,2025-02-15,55.6,41.8,48.9,55.6,37.1,47.6,30.3,49.8,0,0,0,rain,0,0,19.7,10.2,176.1,1018.2,15.6,13.7,179.7,15.4,7,10,2025-02-15T06:27:57,2025-02-15T17:22:25,0.58,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-16,61,45.8,52.4,61,43.9,51.8,36.4,55.9,0,0,0,,0,0,12.1,9,58.1,1011.1,54.8,12.3,158.4,13.7,7,10,2025-02-16T06:26:51,2025-02-16T17:23:25,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47671099999,47670099999,47642043313,47680099999,47626099999,47682099999,RJTT"
Tokyo,2025-02-17,57.8,39.8,49.2,57.8,32.3,47.1,31.4,51.4,0,0,0,rain,0,0,38,17.3,325.4,1004.8,35.2,12.3,152.2,13,6,10,2025-02-17T06:25:44,2025-02-17T17:24:24,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-18,47.3,36.2,41,42.7,27.8,35.3,13,32.1,0,0,0,snow,0,0,32.4,14.9,322.8,1010.4,27.8,13.5,177.8,15.2,6,10,2025-02-18T06:24:36,2025-02-18T17:25:23,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-19,46.6,33.2,39.2,41.6,27.6,33.5,13.1,35.8,0,0,0,,0,0,37.4,14.9,326.4,1013.5,2.5,14.6,197.4,17.1,7,10,2025-02-19T06:23:26,2025-02-19T17:26:21,0.71,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-20,49.2,30.6,40.1,47,25.1,36.1,11.6,32.4,0,0,0,,0,0,20.4,11.3,311.8,1018.9,20.8,13.4,199.2,17.4,7,10,2025-02-20T06:22:16,2025-02-20T17:27:20,0.74,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47662099999,47671099999,47670099999,47642043313,47680099999,47626099999,47682099999,RJTT"
Tokyo,2025-02-21,50,35,41.8,50,26.3,37.1,11.8,29.6,0,0,0,,0,0,20.4,16.9,319.2,1020.6,37.1,13,191.7,16.7,7,10,2025-02-21T06:21:05,2025-02-21T17:28:18,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47662099999,47671099999,47670099999,47686099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
