city,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,city.1,clothing_recommendation,season,sunrise_hour,sunset_hour,datetime_hour,month,date,day_of_week,msPlayed,genre,main_genre,temp_bin
Berlin,2024-04-24,49.1,39.5,44.1,46.2,35.7,40.9,33.0,65.7,0.013,100.0,12.5,rain,0.0,0.0,22.4,9.3,164.2,1007.9,56.6,23.8,135.6,11.7,6,22.128353498158862,05:48:33,20:21:49,0.5,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"🧥 Coat or insulated jacket, boots ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,5,20,0,April,2024-04-24,Wednesday,72917,german hip hop,Unknown,"(30.28, 44.66]"
Berlin,2024-04-27,70.1,37.4,55.0,70.1,35.4,54.4,38.6,58.1,0.0,0.0,0.0,Unknown,0.0,0.0,19.5,10.0,154.8,1010.7,15.3,29.0,253.5,22.0,9,22.128353498158862,05:42:23,20:27:00,0.62,clear,Clear conditions throughout the day.,clear-day,"00427,03987,00403,E2835,00433,00400",Berlin,"🧶 Hoodie or light jacket, jeans 🕶️ (Sunscreen & sunglasses)",Spring,5,20,0,April,2024-04-27,Saturday,3712003,afrobeat,afrobeats,"(44.66, 59.04]"
Berlin,2024-05-15,78.3,54.9,68.1,78.3,54.9,68.1,40.4,38.0,0.0,0.0,0.0,Unknown,0.0,0.0,32.9,17.2,101.1,1012.3,3.9,29.7,303.2,26.1,9,22.128353498158862,05:09:54,20:56:57,0.25,clear,Clear conditions throughout the day.,clear-day,"00427,03987,00403,E2835,00433,00400",Berlin,"👕 T-shirt, jeans/skirt, light sneakers 🕶️ (Sunscreen & sunglasses)",Spring,5,20,0,May,2024-05-15,Wednesday,12717790,afropiano,amapiano,"(59.04, 73.42]"
Berlin,2024-05-18,66.1,54.9,61.6,66.1,54.9,61.6,48.1,61.6,0.0,0.0,0.0,Unknown,0.0,0.0,25.3,10.9,102.9,1010.5,59.1,29.7,181.9,15.7,8,22.128353498158862,05:05:27,21:01:33,0.33,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00427,03987,00403,E2835,00433,00400",Berlin,"🧶 Hoodie or light jacket, jeans 🕶️ (Sunscreen & sunglasses)",Spring,5,21,0,May,2024-05-18,Saturday,187380,afrobeat,amapiano,"(59.04, 73.42]"
Berlin,2024-05-21,80.8,55.5,69.0,80.2,55.5,69.0,54.1,63.4,0.0,0.0,0.0,Unknown,0.0,0.0,28.4,17.5,81.6,1010.5,53.6,19.9,254.9,22.0,8,22.128353498158862,05:01:20,21:05:58,0.43,partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"00427,03987,00403,E2835,00433,00400",Berlin,"👕 T-shirt, jeans/skirt, light sneakers 🕶️ (Sunscreen & sunglasses)",Spring,5,21,0,May,2024-05-21,Tuesday,5156666,nan,Unknown,"(59.04, 73.42]"
Berlin,2024-05-22,75.9,59.9,69.0,75.9,59.9,69.0,57.8,68.4,0.156,100.0,25.0,rain,0.0,0.0,28.0,13.9,87.6,1006.9,91.2,22.4,117.8,10.1,6,22.128353498158862,05:00:02,21:07:24,0.46,"rain, overcast",Cloudy skies throughout the day with rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"👕 T-shirt, jeans/skirt, light sneakers ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,5,21,0,May,2024-05-22,Wednesday,27016841,nan,Unknown,"(59.04, 73.42]"
Berlin,2024-05-23,74.5,59.1,65.8,74.5,59.1,65.8,54.1,69.1,0.038,100.0,12.5,rain,0.0,0.0,20.6,11.9,274.7,1013.4,78.4,18.8,292.7,25.2,9,22.128353498158862,04:58:47,21:08:48,0.5,"rain, partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"👕 T-shirt, jeans/skirt, light sneakers ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,4,21,0,May,2024-05-23,Thursday,13112254,nan,Unknown,"(59.04, 73.42]"
Berlin,2024-05-24,76.5,55.0,66.0,76.5,55.0,66.0,55.0,71.3,0.222,100.0,20.83,rain,0.0,0.0,22.1,14.5,88.6,1018.0,78.0,18.1,215.0,18.7,9,22.128353498158862,04:57:34,21:10:11,0.53,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"👕 T-shirt, jeans/skirt, light sneakers ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Spring,4,21,0,May,2024-05-24,Friday,45898,nan,Unknown,"(59.04, 73.42]"
Berlin,2024-06-09,68.9,51.9,60.9,68.9,51.9,60.9,42.0,52.9,0.0,0.0,0.0,Unknown,0.0,0.0,22.6,14.4,288.6,1008.4,17.1,30.7,321.1,28.0,9,22.128353498158862,04:44:32,21:27:42,0.09,clear,Clear conditions throughout the day.,clear-day,"00427,03987,00403,E2835,00433,00400",Berlin,"🧶 Hoodie or light jacket, jeans 🕶️ (Sunscreen & sunglasses)",Summer,4,21,0,June,2024-06-09,Sunday,4303152,nan,Unknown,"(59.04, 73.42]"
Berlin,2024-06-10,66.3,50.6,58.6,66.3,50.6,58.6,44.7,61.7,0.062,100.0,12.5,rain,0.0,0.0,18.1,10.7,295.3,1006.4,50.0,22.2,182.8,15.8,9,22.128353498158862,04:44:09,21:28:27,0.13,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"🧶 Hoodie or light jacket, jeans ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,4,21,0,June,2024-06-10,Monday,68374076,nan,afrobeats,"(44.66, 59.04]"
Berlin,2024-06-11,63.9,50.9,56.6,63.9,50.9,56.6,46.1,69.7,0.019,100.0,12.5,rain,0.0,0.0,34.0,18.3,253.1,1009.3,53.8,25.0,139.6,12.1,8,22.128353498158862,04:43:49,21:29:10,0.16,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"🧶 Hoodie or light jacket, jeans ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,4,21,0,June,2024-06-11,Tuesday,2818864,nan,Unknown,"(44.66, 59.04]"
Berlin,2024-06-12,63.2,47.4,55.7,63.2,45.1,55.2,44.2,66.7,0.008,100.0,20.83,rain,0.0,0.0,24.8,13.8,259.4,1016.5,17.5,29.2,286.8,24.7,10,22.128353498158862,04:43:32,21:29:49,0.19,rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"🧶 Hoodie or light jacket, jeans ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,4,21,0,June,2024-06-12,Wednesday,35120269,nan,Unknown,"(44.66, 59.04]"
Berlin,2024-06-17,75.1,61.3,67.5,75.1,61.3,67.5,54.8,64.3,0.03,100.0,16.67,rain,0.0,0.0,22.8,12.6,210.9,1012.1,77.7,25.8,174.8,15.1,10,22.128353498158862,04:42:57,21:32:22,0.35,"rain, partially cloudy",Partly cloudy throughout the day with rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"👕 T-shirt, jeans/skirt, light sneakers ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,4,21,0,June,2024-06-17,Monday,5648090,nan,Unknown,"(59.04, 73.42]"
Berlin,2024-06-18,81.1,56.5,68.0,81.0,56.5,68.0,58.0,74.1,0.409,100.0,20.83,rain,0.0,0.0,21.7,8.0,191.7,1014.1,75.9,24.8,224.0,19.3,10,22.128353498158862,04:42:59,21:32:43,0.38,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"00427,03987,00403,E2835,00433,00400",Berlin,"👕 T-shirt, jeans/skirt, light sneakers ☔ (Umbrella recommended) 🕶️ (Sunscreen & sunglasses)",Summer,4,21,0,June,2024-06-18,Tuesday,37802921,nan,Unknown,"(59.04, 73.42]"
